time,raw_data
1717833187.92575,-8986.88
1717833188.0198894,-8986.52
1717833188.1087704,-8986.70
1717833188.2009296,-8987.70
1717833188.286103,-8987.74
1717833188.3869941,-8987.16
1717833188.475308,-8987.20
1717833188.5709078,-8987.24
1717833188.659074,-8986.56
1717833188.7548575,-8986.76
1717833188.8359668,-8986.82
1717833188.9388406,-8986.60
1717833189.0199118,-8986.86
1717833189.1228335,-8987.14
1717833189.215101,-8987.62
1717833189.300976,-8987.48
1717833189.3986282,-8986.94
1717833189.4904459,-8987.16
1717833189.5833595,-8987.58
1717833189.6747413,-8987.98
1717833189.7674603,-8986.94
1717833189.8589647,-8986.38
1717833189.9508011,-8986.96
1717833190.040677,-8986.92
1717833190.1342478,-8986.34
1717833190.220039,-8986.24
1717833190.3176239,-8986.10
1717833190.4031317,-8986.22
1717833190.5009868,-8986.30
1717833190.58655,-8986.48
1717833190.6860158,-8986.42
1717833190.7687438,-8986.40
1717833190.8675146,-8986.64
1717833190.958065,-8986.46
1717833191.0521097,-8987.28
1717833191.142148,-8987.28
1717833191.2386224,-8987.66
1717833191.3304472,-8987.20
1717833191.4218273,-8987.06
1717833191.5103219,-8986.56
1717833191.6055818,-8986.26
1717833191.6868372,-8986.58
1717833191.7895055,-8986.70
1717833191.8821828,-8987.16
1717833191.9734368,-8987.58
1717833192.0631833,-8987.30
1717833192.1587014,-8986.56
1717833192.2501407,-8987.64
1717833192.3411899,-8987.82
1717833192.434038,-8987.68
1717833192.5257106,-8987.06
1717833192.6177719,-8985.40
1717833192.7077467,-8985.30
1717833192.8010375,-8986.40
1717833192.892815,-8986.52
1717833192.9839246,-8986.32
1717833193.0758185,-8986.12
1717833193.1678069,-8985.42
1717833193.2594972,-8985.52
1717833193.3513482,-8986.36
1717833193.442178,-8986.12
1717833193.536812,-8986.18
1717833193.6258364,-8985.42
1717833193.7182493,-8985.20
1717833193.8094225,-8985.48
1717833193.904843,-8985.96
1717833193.9861307,-8985.62
1717833194.088818,-8984.84
1717833194.1682787,-8986.06
1717833194.272489,-8986.06
1717833194.3656914,-8986.14
1717833194.4505115,-8986.12
1717833194.542463,-8986.56
1717833194.640186,-8986.96
1717833194.7260797,-8987.02
1717833194.825024,-8986.18
1717833194.917298,-8986.36
1717833195.009249,-8987.38
1717833195.1008217,-8987.34
1717833195.19332,-8987.38
1717833195.2845886,-8987.12
1717833195.3758576,-8986.38
1717833195.4680767,-8986.58
1717833195.558947,-8986.38
1717833195.651083,-8986.18
1717833195.7407184,-8985.56
1717833195.8347247,-8985.54
1717833195.9201186,-8986.70
1717833196.017897,-8986.32
1717833196.1103501,-8986.24
1717833196.203794,-8986.12
1717833196.2861085,-8986.44
1717833196.3877957,-8986.64
1717833196.4758966,-8986.52
1717833196.571798,-8986.56
1717833196.653682,-8986.02
1717833196.7515306,-8986.30
1717833196.8411007,-8986.86
1717833196.9392126,-8987.14
1717833197.0261924,-8987.26
1717833197.1231663,-8987.14
1717833197.216138,-8987.40
1717833197.3062763,-8987.74
1717833197.4004598,-8987.48
1717833197.4911633,-8987.60
1717833197.5837195,-8988.16
1717833197.675956,-8988.12
1717833197.7677531,-8988.44
1717833197.8588312,-8988.68
1717833197.9514976,-8988.06
1717833198.0427196,-8987.16
1717833198.1348574,-8987.82
1717833198.2271018,-8987.92
1717833198.319354,-8987.10
1717833198.402185,-8987.00
1717833198.5012193,-8987.78
1717833198.5929425,-8987.62
1717833198.686777,-8987.78
1717833198.7703881,-8988.32
1717833198.8690982,-8986.86
1717833198.9566386,-8987.54
1717833199.0551116,-8987.58
1717833199.1427672,-8986.68
1717833199.2382474,-8987.86
1717833199.3261101,-8988.18
1717833199.422208,-8987.84
1717833199.5036829,-8987.74
1717833199.6061635,-8988.32
1717833199.6983693,-8988.56
1717833199.790171,-8988.48
1717833199.8828914,-8987.92
1717833199.973894,-8988.10
1717833200.0664833,-8988.14
1717833200.1534052,-8988.42
1717833200.2505856,-8988.40
1717833200.341818,-8987.94
1717833200.4349313,-8988.82
1717833200.5203547,-8988.80
1717833200.6176414,-8988.72
1717833200.704221,-8987.60
1717833200.8015573,-8987.86
1717833200.8937755,-8988.24
1717833200.9863968,-8988.72
1717833201.075965,-8987.40
1717833201.1681383,-8987.60
1717833201.259562,-8987.66
1717833201.353774,-8987.64
1717833201.4373379,-8987.78
1717833201.53727,-8987.70
1717833201.6206586,-8987.18
1717833201.717797,-8987.08
1717833201.8093295,-8986.60
1717833201.905199,-8986.96
1717833201.9870548,-8988.02
1717833202.0891576,-8988.18
1717833202.1744015,-8987.84
1717833202.2715054,-8987.48
1717833202.3653665,-8986.58
1717833202.4516637,-8986.76
1717833202.5495765,-8987.20
1717833202.6349616,-8987.36
1717833202.7340047,-8987.74
1717833202.8247757,-8987.40
1717833202.9177299,-8987.14
1717833203.0087733,-8987.68
1717833203.1016073,-8987.56
1717833203.191418,-8987.54
1717833203.2841666,-8987.68
1717833203.3773687,-8987.30
1717833203.4691482,-8986.56
1717833203.5597236,-8986.84
1717833203.6535752,-8987.50
1717833203.7427158,-8987.68
1717833203.8345242,-8987.78
1717833203.9264936,-8987.28
1717833204.0210662,-8987.24
1717833204.1099095,-8988.14
1717833204.2042327,-8988.32
1717833204.2876766,-8987.88
1717833204.3893151,-8987.18
1717833204.4766853,-8987.50
1717833204.5721369,-8988.22
1717833204.659712,-8988.04
1717833204.7516737,-8987.94
1717833204.8369532,-8988.14
1717833204.939869,-8987.60
1717833205.0263846,-8987.46
1717833205.1184943,-8987.90
1717833205.2097638,-8987.84
1717833205.3077927,-8987.30
1717833205.4002354,-8987.36
1717833205.49236,-8987.94
1717833205.584228,-8987.14
1717833205.676196,-8986.98
1717833205.7683163,-8987.70
1717833205.8604558,-8987.26
1717833205.9511287,-8986.80
1717833206.04331,-8986.94
1717833206.1362443,-8987.14
1717833206.2253766,-8987.90
1717833206.320057,-8988.20
1717833206.409928,-8987.24
1717833206.5016189,-8987.84
1717833206.593337,-8987.94
1717833206.68495,-8987.52
1717833206.7709348,-8987.44
1717833206.8681293,-8987.86
1717833206.9599319,-8988.72
1717833207.0549483,-8988.48
1717833207.143417,-8987.36
1717833207.2389445,-8987.48
1717833207.3266666,-8988.28
1717833207.4183023,-8988.34
1717833207.5099754,-8987.38
1717833207.606824,-8988.36
1717833207.68717,-8988.22
1717833207.7907767,-8988.64
1717833207.8769932,-8988.66
1717833207.9747846,-8987.60
1717833208.0867271,-8987.74
1717833208.1519775,-8988.42
1717833208.2518103,-8988.34
1717833208.3416255,-8987.98
1717833208.4349422,-8987.28
1717833208.5207202,-8987.22
1717833208.61954,-8987.94
1717833208.7100039,-8988.12
1717833208.8035643,-8988.30
1717833208.8960104,-8987.84
1717833208.9853125,-8987.38
1717833209.0767183,-8986.80
1717833209.1680696,-8986.78
1717833209.260341,-8987.86
1717833209.3547356,-8988.36
1717833209.443348,-8989.12
1717833209.5387447,-8988.20
1717833209.6267326,-8987.42
1717833209.723527,-8987.06
1717833209.810203,-8986.94
1717833209.9079206,-8987.66
1717833209.99957,-8987.80
1717833210.0917604,-8987.34
1717833210.1767545,-8986.92
1717833210.2747347,-8987.84
1717833210.3678615,-8987.98
1717833210.4599395,-8986.88
1717833210.5517035,-8987.22
1717833210.6433647,-8986.72
1717833210.735079,-8985.98
1717833210.8269112,-8985.90
1717833210.9183912,-8986.04
1717833211.008821,-8986.62
1717833211.1032352,-8986.86
1717833211.1940787,-8987.42
1717833211.2875218,-8987.00
1717833211.3770254,-8986.58
1717833211.4707236,-8986.56
1717833211.560218,-8986.10
1717833211.6519744,-8986.46
1717833211.7436996,-8987.10
1717833211.8353124,-8986.76
1717833211.9271872,-8986.78
1717833212.0235255,-8986.90
1717833212.1154156,-8986.44
1717833212.2021947,-8986.94
1717833212.298382,-8986.36
1717833212.390486,-8985.54
1717833212.477094,-8986.02
1717833212.5744948,-8986.50
1717833212.6669939,-8985.36
1717833212.7521331,-8985.50
1717833212.8511975,-8986.24
1717833212.941901,-8986.16
1717833213.0354564,-8985.90
1717833213.1270285,-8985.84
1717833213.2188203,-8985.80
1717833213.3104255,-8985.84
1717833213.4023204,-8985.70
1717833213.4936213,-8985.62
1717833213.5852377,-8986.04
1717833213.6770475,-8985.56
1717833213.7715251,-8985.96
1717833213.8600216,-8986.32
1717833213.9517777,-8986.76
1717833214.0437665,-8986.58
1717833214.1390638,-8986.86
1717833214.2273033,-8986.48
1717833214.3221796,-8986.02
1717833214.4112635,-8985.54
1717833214.5031593,-8985.68
1717833214.5978248,-8985.94
1717833214.6903265,-8986.60
1717833214.7794275,-8986.70
1717833214.8755898,-8986.62
1717833214.96711,-8985.02
1717833215.0582206,-8984.82
1717833215.1514692,-8985.32
1717833215.243381,-8986.50
1717833215.3352325,-8986.48
1717833215.4271884,-8985.32
1717833215.5188828,-8985.54
1717833215.6092124,-8985.80
1717833215.7018428,-8986.20
1717833215.7933455,-8986.22
1717833215.885218,-8986.38
1717833215.9771852,-8985.98
1717833216.069866,-8985.46
1717833216.1662405,-8985.96
1717833216.2514908,-8986.24
1717833216.3431768,-8985.96
1717833216.4381254,-8986.44
1717833216.5212882,-8985.84
1717833216.6230319,-8985.62
1717833216.7088623,-8986.10
1717833216.8068237,-8985.70
1717833216.892295,-8985.74
1717833216.9900963,-8985.78
1717833217.0753398,-8985.46
1717833217.1681654,-8986.16
1717833217.2658875,-8987.08
1717833217.351786,-8987.16
1717833217.4514956,-8987.74
1717833217.5357444,-8987.62
1717833217.6352997,-8986.92
1717833217.7249336,-8986.70
1717833217.8188784,-8987.10
1717833217.9088197,-8986.82
1717833218.0027723,-8987.42
1717833218.0878642,-8987.08
1717833218.185895,-8986.84
1717833218.2785416,-8987.42
1717833218.3695629,-8988.16
1717833218.4606276,-8988.54
1717833218.5522974,-8988.14
1717833218.642142,-8987.84
1717833218.738016,-8987.92
1717833218.8257763,-8987.36
1717833218.918422,-8986.88
1717833219.0100617,-8987.28
1717833219.102363,-8987.38
1717833219.191598,-8987.30
1717833219.2901957,-8987.06
1717833219.381853,-8986.92
1717833219.46919,-8986.66
1717833219.5613275,-8987.32
1717833219.6577783,-8987.56
1717833219.7436304,-8987.54
1717833219.83588,-8987.08
1717833219.9339383,-8987.36
1717833220.0260477,-8988.04
1717833220.1187222,-8987.78
1717833220.2106657,-8987.24
1717833220.3019767,-8986.24
1717833220.3915381,-8986.14
1717833220.4858527,-8986.36
1717833220.5773008,-8986.86
1717833220.6691384,-8986.92
1717833220.7546592,-8987.28
1717833220.8519168,-8988.30
1717833220.943354,-8988.28
1717833221.0387177,-8987.06
1717833221.1292558,-8987.34
1717833221.2144306,-8987.82
1717833221.3114643,-8986.96
1717833221.4020429,-8986.76
1717833221.4970064,-8987.40
1717833221.589671,-8988.00
1717833221.6700952,-8988.26
1717833221.7683861,-8987.40
1717833221.8618543,-8988.04
1717833221.9555843,-8988.26
1717833222.0433154,-8988.02
1717833222.141658,-8987.70
1717833222.2349386,-8988.10
1717833222.3270195,-8987.92
1717833222.4183753,-8987.72
1717833222.5089781,-8987.72
1717833222.6022046,-8987.82
1717833222.692655,-8987.94
1717833222.7851336,-8987.40
1717833222.8776855,-8988.14
1717833222.969437,-8988.26
1717833223.0588615,-8988.10
1717833223.151829,-8988.12
1717833223.246641,-8988.54
1717833223.3367715,-8988.68
